label,smarts,count
O=[S](O)([R])=[N][R],[#7](=[#16](=[#8])(-[#8])-[#0:1])-[#0:2],1
[R][B-]([R])([R])[R],[#0:1]-[#5-](-[#0:2])(-[#0:3])-[#0:4],1
O=S(=O)(O)CO,[#6H](-[#8])-[#16](=[#8])(=[#8])-[#8],1
O=S(=O)(O)C[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#6]-[#16](=[#8])(=[#8])-[#8],1
O=C([N]([R])[R])[N]([R])C(=O)[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#7](-[#0:2])-[#6](-[#7](-[#0:3])-[#0:5])=[#8])-[#0:4],1
O=[C]1N=C(O)[N]([R])[R]1,[#8]=[#6]1-[#7]=[#6](-[#8])-[#7](-[#0:1]-1)-[#0:2],1
C=N[N]1[R][C](=O)N=C1O,[#8]=[#6]1-[#0:1]-[#7](-[#7]=[#6H])-[#6](-[#8])=[#7]-1,1
[R][N][Cal],[#7](-[#0:1])-[#0:2],1
O=[N+]([O-])C=CO[N]([R])[R],[#0:1]-[#7](-[#8]-[#6H]=[#6H]-[#7+](=[#8])-[#8-])-[#0:2],1
C=CC=N[N]1[R][C](=O)[N]([R])C1=O,[#8]=[#6]1-[#0:1]-[#7](/[#7]=[#6]/[#6]=[#6H])-[#6](=[#8])-[#7]-1-[#0:2],1
O=C([N]([R])[R])[N]([R])[N+](=O)[O-],[#8]=[#6](-[#7](-[#0:1])-[#0:2])-[#7](-[#0:3])-[#7+](=[#8])-[#8-],1
[R][S][Zn][S][R],[#0:1]-[#16]-[Zn]-[#16]-[#0:2],1
C=CC=[N+]([O-])[R],[#8-]/[#7+](=[#6]\[#6]=[#6H])-[#0:1],1
O=C(O)N=NC(=O)O,[#8]=[#6](-[#8])/[#7]=[#7]/[#6](=[#8])-[#8],1
O=C(O)C(=O)C(=O)O,[#8]=[#6](-[#8])-[#6](=[#8])-[#6](=[#8])-[#8],1
C=C[P](=O)(O)[R],[#0:1]-[#15](=[#8])(-[#8])-[#6H]=[#6H],1
C#[C][Pt][C]#C,[#6H]#[#6]-[Pt]-[#6]#[#6H],1
[Cl][Pt][R],[#0:1]-[Pt]-[#17],1
[Cl][Pt][Cl],[#17]-[Pt]-[#17],1
[I][Pt][I],[#53]-[Pt]-[#53],1
*[Si]([R])([R])[Rh]([Cl])([S+]([R])[R])([S+]([R])[R])[Si]([R])([R])[R],[#0:1]-[#16+](-[#0:2])-[Rh](-[Si](-[#0:3])(-[#0:4])-[#0:5])(-[#17])(-[#16+](-[#0:6])-[#0:7])-[Si](-[#0:8])(-[#0:9])-[#0],1
[Cl][Rh]([R])([S+]([R])[R])([Si]([R])([R])[R])[P+]([R])([R])[R],[#0:1]-[#16+](-[#0:2])-[Rh](-[Si](-[#0:3])(-[#0:4])-[#0:5])(-[#17])(-[#15+](-[#0:6])(-[#0:7])-[#0:8])-[#0:9],1
C=NN=c1cccc[n]1[R],[#6]1=[#6]-[#6](=[#7]-[#7]=[#6H2])-[#7](-[#0:1])-[#6]=[#6]-1,1
OC[N]([R])C(=[N][R])[S][R],[#8]-[#6H2]-[#7](-[#6](-[#16]-[#0:1])=[#7]-[#0:2])-[#0:3],1
O=C(C=CBr)[O][R],[#6H](=[#6]-[#35])-[#6](=[#8])-[#8]-[#0:1],1
C=C(Br)C=N[N]([R])[R],[#35]-[#6](=[#6H])/[#6]=[#7]/[#7](-[#0:1])-[#0:2],1
C=CC=C[S][R],[#6H]=[#6H]-[#6H]=[#6H]-[#16]-[#0:1],1
C=C(Br)[C](=O)[R],[#8]=[#6](-[#6](-[#35])=[#6H])-[#0:1],1
[R][Se][Se][R],[#0:1]-[Se]-[Se]-[#0:2],1
Cl[Se](Cl)([R])[R],[#0:1]-[Se](-[#17])(-[#17])-[#0:2],1
O=C(C=N[N]([R])[S](=O)(=O)[R])[N]([R])[R],[#8]=[#6](-[#7](-[#0:1])-[#0:3])-[#6H]=[#7]-[#7](-[#16](=[#8])(=[#8])-[#0:2])-[#0:4],1
C=C([O][R])[N]([R])[R],[#6]=[#6](-[#7](-[#0:1])-[#0:3])-[#8]-[#0:2],1
O=[N+]([O-])C[N+](=O)[O-],[#6H2](-[#7+](=[#8])-[#8-])-[#7+](=[#8])-[#8-],1
[R][O]Br,[#0:1]-[#8]-[#35],1
II,[#53]-[#53],1
[R][Si]([R])([R])C#CBr,[#0:1]-[Si](-[#6]#[#6]-[#35])(-[#0:2])-[#0:3],1
C#CC#CC(=O)O,[#8]=[#6](-[#8])-[#6]#[#6]-[#6]#[#6H],1
C#CC#C[Si]([R])([R])[R],[#0:1]-[Si](-[#0:2])(-[#0:3])-[#6]#[#6]-[#6]#[#6H],1
O=C(N=NC(=O)[O][R])[O][R],[#0:1]-[#8]-[#6](=[#8])/[#7]=[#7]/[#6](=[#8])-[#8]-[#0:2],1
O=C([O][Na])C(=CC=CC(=O)[N]([R])[R])N(C[S][R])[C](=O)[R],[#0:1]-[#7](-[#0:2])-[#6](-[#6H]=[#6]-[#6H]=[#6](-[#6](=[#8])-[#8]-[Na])-[#7](-[#6](=[#8])-[#0:3])-[#6H2]-[#16]-[#0:4])=[#8],1
C=CC=CC=CC=N[O][R],[#6H]=[#6]-[#6H]=[#6H]-[#6H]=[#6]-[#6H]=[#7]-[#8]-[#0:1],1
N#CC=C(O)C1CO1,[#6H2]1-[#8]-[#6H]-1-[#6](-[#8])=[#6H]-[#6]#[#7],1
O=[C]([R])C=C1OCOC1[O][R],[#0:1]-[#8]-[#6H]1-[#8]-[#6]-[#8]-[#6]-1=[#6]-[#6](=[#8])-[#0:2],1
C=CC(O)(C=C)[O][R],[#6H2]=[#6]-[#6](-[#8])(-[#8]-[#0:1])-[#6H]=[#6H2],1
O=[C]([R])N(COC=[N][R])[C](=O)[R],[#0:1]-[#7]=[#6H]-[#8]-[#6H2]-[#7](-[#6](=[#8])-[#0:2])-[#6](-[#0:3])=[#8],1
O=[C]([R])OCOC(=O)C(=C[S][R])[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6](-[#6](=[#8])-[#8]-[#6]-[#8]-[#6](=[#8])-[#0:2])=[#6H]-[#16]-[#0:3])-[#0:4],1
O=P([O][Na])([O][Na])C1CO1,[#6H2]1-[#8]-[#6H]-1-[#15](=[#8])(-[#8]-[Na])-[#8]-[Na],1
C=CC=CC=CC=CC=CC=CC=C,[#6H]=[#6]/[#6]=[#6]/[#6]=[#6]/[#6]=[#6]/[#6]=[#6]/[#6]=[#6]/[#6]=[#6H],1
O=C(c1nc(=N[S](=O)(=O)[R])[n]([R])[n]1[R])[N]([R])[R],[#0:1]-[#7]1-[#6](-[#6](-[#7](-[#0:4])-[#0:5])=[#8])=[#7]-[#6](=[#7]-[#16](=[#8])(=[#8])-[#0:2])-[#7]-1-[#0:3],1
[R][O]OCOCOC[N]([R])[R],[#6H2](-[#7](-[#0:1])-[#0:2])-[#8]-[#6H2]-[#8]-[#6H2]-[#8]-[#8]-[#0:3],1
O=[C]([R])[N]([R])S(=O)(=O)O,[#0:2]-[#6](=[#8])-[#7](-[#16](=[#8])(=[#8])-[#8])-[#0:1],1
O=C(C=C[S](=O)(=O)[R])[N]([R])[R],[#0:2]-[#7](-[#6](=[#8])-[#6H]=[#6]-[#16](=[#8])(=[#8])-[#0:3])-[#0:1],1
O=C=O,[#8]=[#6]=[#8],1
[R][Cr]([R])[R],[#0:1]-[Cr](-[#0:2])-[#0:3],1
O=[C]([R])[N]([R])[N+]([R])([R])[R],[#0:1]-[#7+](-[#0:2])(-[#0:3])-[#7](-[#6](=[#8])-[#0:4])-[#0:5],1
[R][N]([R])[N+]([R])([R])[R],[#0:1]-[#7+](-[#0:2])(-[#0:3])-[#7](-[#0:4])-[#0:5],1
[R][N+]1=C[N+]([R])(I)C=C1,[#0:1]-[#7+]1=[#6]-[#7+](-[#0:2])(-[#53])-[#6]=[#6]-1,1
C=CC=CC=C[NH][R],[#6H]=[#6]-[#6]=[#6]-[#6]=[#6]-[#7]-[#0:1],1
[R][S]C([S][R])[Si]([R])([R])[R],[#0:1]-[Si](-[#0:2])(-[#0:3])-[#6H](-[#16]-[#0:4])-[#16]-[#0:5],1
C=NOCON=C,[#6H2]=[#7]-[#8]-[#6]-[#8]-[#7]=[#6H2],1
N#CN=C[N]([R])[R],[#6H](=[#7]-[#6]#[#7])-[#7](-[#0:1])-[#0:2],1
C=NN1C[N]([R])[R][C]1=O,[#6H2]=[#7]-[#7]1-[#6](=[#8])-[#0:1]-[#7](-[#0:2])-[#6H]-1,1
O=CC=CC=C[N]([R])[R],[#6H](-[#6]=[#8])=[#6]/[#6H]=[#6]/[#7](-[#0:1])-[#0:2],1
O=C[N]([R])C=CSSC=C[N]([R])C=O,[#6H](=[#6H]-[#16]-[#16]-[#6H]=[#6H]-[#7](-[#6]=[#8])-[#0:1])-[#7](-[#6]=[#8])-[#0:2],1
C=CC#CC#CC=C,[#6H]=[#6]-[#6]#[#6]-[#6]#[#6]-[#6]=[#6H],1
C=CC(=C)[N]([R])[C](=O)[R],[#6H]=[#6H]-[#6](=[#6H])-[#7](-[#6](=[#8])-[#0:1])-[#0:2],1
O=C1C=CC([CH]=[Car])=N1,[#6H2]=[#6]-[#6]1=[#7]-[#6](=[#8])-[#6H]=[#6H]-1,1
C#CC1CO1,[#6]#[#6]-[#6H]1-[#8]-[#6H]-1,1
C=C[N]([R])O[C](=O)[R],[#6]=[#6H]-[#7](-[#8]-[#6](=[#8])-[#0:1])-[#0:2],1
C=C(OP(=O)(O)O)C(=O)O,[#6]=[#6](-[#8]-[#15](=[#8])(-[#8])-[#8])-[#6](=[#8])-[#8],1
C=CC(=COCOC[O][R])C(=O)[O][R],[#6H](=[#6H])-[#6](-[#6](-[#8]-[#0:1])=[#8])=[#6]-[#8]-[#6H2]-[#8]-[#6H2]-[#8]-[#0:2],1
O=C(C=COCOC[O][R])[N]([R])[R],[#6H2](-[#8]-[#6H2]-[#8]-[#0:1])-[#8]-[#6]=[#6H]-[#6](=[#8])-[#7](-[#0:2])-[#0:3],1
O=C(C=CO)[S][R],[#0:1]-[#16]-[#6](=[#8])-[#6H]=[#6H]-[#8],1
C=C=CN([C](=O)[R])[C](=O)[R],[#6]=[#6]=[#6]-[#7](-[#6](=[#8])-[#0:1])-[#6](-[#0:2])=[#8],1
O=[C]([R])O[N]([R])N=[N][R],[#0:1]-[#6](=[#8])-[#8]-[#7](-[#7]=[#7]-[#0:2])-[#0:3],1
C=C(C=[CH][Nar])[N]([R])[R],[#6]=[#6](-[#7](-[#0:1])-[#0:2])-[#6H]=[#6H]-[#7],1
C=CC1=CC(=CC(=O)[N]([R])[R])[N]([R])C1=O,[#6]=[#6]-[#6]1=[#6H]/[#6](=[#6]/[#6](-[#7](-[#0:1])-[#0:2])=[#8])-[#7](-[#6]-1=[#8])-[#0:3],1
C=CC1=CC(=O)[N]([R])C1=CC(C=C)=[N][R],[#0:1]-[#7]=[#6](-[#6]=[#6]1-[#7](-[#6](=[#8])-[#6H]=[#6]-1-[#6]=[#6])-[#0:2])-[#6H]=[#6H2],1
C=CC1=CC(=O)[N]([R])C1=CC(=O)[N]([R])[R],[#6]=[#6]-[#6]1=[#6H]-[#6](=[#8])-[#7](/[#6]-1=[#6]\[#6](-[#7](-[#0:2])-[#0:3])=[#8])-[#0:1],1
C=CC1=CC2=NC1=CC1=NC(=CC3=CC(=CO)C(=N3)C=C[N]([R])C=C2)C=C1,[#6]=[#6]-[#6]1=[#6H]-[#6]2=[#7]/[#6]-1=[#6]\[#6]1=[#7]/[#6](=[#6]\[#6]3=[#6H]-[#6](=[#6H]-[#8])-[#6](-[#6H]=[#6H]-[#7](\[#6H]=[#6]/2)-[#0:1])=[#7]-3)-[#6H]=[#6H]-1,1
[O-]C([O-])=C1C=C(C=C2C=CC([CH]=[Car])=N2)N=C1C=CN=C[CH]=[Car],[#6H2]=[#6]/[#6]1=[#7]\[#6](=[#6]/[#6]2=[#6H]-[#6](=[#6](-[#8-])-[#8-])-[#6](=[#7]-2)/[#6H]=[#6H]\[#7]=[#6H]/[#6]=[#6H2])-[#6H]=[#6H]-1,1
O=C1C=CC(=C([O][R])[N]([R])[R])C=C1F,[#0:2]-[#8]/[#6](=[#6]1\[#6]=[#6]-[#6](=[#8])-[#6](-[#9])=[#6]-1)-[#7](-[#0:1])-[#0:3],1
O=[C]([R])C(C=N[O][R])=C[N]([R])[R],[#0:1]-[#8]-[#7]=[#6H]-[#6](=[#6H]-[#7](-[#0:3])-[#0:4])-[#6](-[#0:2])=[#8],1
O=[S]([R])[S][R],[#0:1]-[#16]-[#16](=[#8])-[#0:2],1
O=C1C=C(Cl)C(=O)C(Cl)=C1,[#8]=[#6]1-[#6](-[#17])=[#6H]-[#6](=[#8])-[#6H]=[#6]-1-[#17],1
N#CC(C#N)=C(C(F)=CF)C(F)=CF,[#7]#[#6]-[#6](-[#6]#[#7])=[#6](-[#6](-[#9])=[#6H]-[#9])-[#6](=[#6H]-[#9])-[#9],1
O=C([O][R])[N]([R])C=C[O][R],[#0:1]-[#8]-[#6H]=[#6]-[#7](-[#6](=[#8])-[#8]-[#0:2])-[#0:3],1
O=C1C=CC([S][R])([S](=O)[R])O1,[#6H]1=[#6H]-[#6](-[#8]-[#6]-1=[#8])(-[#16]-[#0:1])-[#16](-[#0:2])=[#8],1
O=C1C2SSC(C(=O)[N]2[R])[N]1[R],[#8]=[#6]1-[#7](-[#0:1])-[#6H]2-[#16]-[#16]-[#6H]-1-[#7](-[#0:2])-[#6]-2=[#8],1
O=C(C=N[P](=O)([R])[R])[O][R],[#6H](=[#7]-[#15](=[#8])(-[#0:1])-[#0:2])-[#6](=[#8])-[#8]-[#0:3],1
O=[C]([R])OC([O][R])C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6H](-[#8]-[#6](-[#0:2])=[#8])-[#8]-[#0:3],1
O=C([O][R])C1=C[N]([R])[R][C]1=O,[#0:1]-[#8]-[#6](=[#8])-[#6]1=[#6H]-[#7](-[#0:2]-[#6]-1=[#8])-[#0:3],1
O=[C]([R])[O][Eu]([O][C](=O)[R])[O][C](=O)[R],[#0:1]-[#6](=[#8])-[#8]-[Eu](-[#8]-[#6](=[#8])-[#0:2])-[#8]-[#6](=[#8])-[#0:3],1
O=[C]([R])[O][Gd]([O][C](=O)[R])[O][C](=O)[R],[#0:1]-[#6](=[#8])-[#8]-[Gd](-[#8]-[#6](=[#8])-[#0:2])-[#8]-[#6](=[#8])-[#0:3],1
O=[C]([R])O[B]([R])O[C](=O)[R],[#0:1]-[#6](=[#8])-[#8]-[#5](-[#0:2])-[#8]-[#6](=[#8])-[#0:3],1
O=[S](=O)([R])[N]([R])Br,[#0:1]-[#16](=[#8])(=[#8])-[#7](-[#35])-[#0:2],1
C=[N+]([R])[B-](F)(F)[O][R],[#9]-[#5-](-[#9])(-[#8]-[#0:1])-[#7+](=[#6H])-[#0:2],1
O=[C]([R])OCOC(=O)[N]([R])[R],[#6H](-[#8]-[#6](=[#8])-[#7](-[#0:1])-[#0:3])-[#8]-[#6](=[#8])-[#0:2],1
C=N[N]([R])[S](=O)[R],[#8]=[#16](-[#7](-[#7]=[#6H])-[#0:2])-[#0:1],1
O=C1OC[N]([R])C1[S][R],[#6H]1(-[#16]-[#0:1])-[#7](-[#6H2]-[#8]-[#6]-1=[#8])-[#0:2],1
[Cl][Au][S+]([R])[R],[#17]-[Au]-[#16+](-[#0:1])-[#0:2],1
O=[C]([R])C(=C[N]([R])C(=O)[O][R])C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6]-[#7](-[#6](=[#8])-[#8]-[#0:2])-[#0:3])-[#6](-[#0:4])=[#8],1
[R][N]([R])N=NC1=NCOC=C1,[#6H]1=[#6]-[#6](/[#7]=[#7]/[#7](-[#0:1])-[#0:2])=[#7]-[#6]-[#8]-1,1
[R][N]=C(N=C([N]([R])[R])[N]([R])[R])[N]([R])[R],[#7](-[#6](=[#7]-[#0:1])/[#7]=[#6](/[#7](-[#0:5])-[#0:6])-[#7](-[#0:2])-[#0:7])(-[#0:3])-[#0:4],1
O=C1C=CC([O][R])([O][R])C=C1,[#8]=[#6]1-[#6]=[#6]-[#6](-[#6]=[#6]-1)(-[#8]-[#0:1])-[#8]-[#0:2],1
C1=CC=CC=CC=C1,[#6H]1=[#6H]-[#6]=[#6]-[#6H]=[#6H]-[#6]=[#6]-1,1
[R][N]=c1nccc[n]1[R],[#0:1]-[#7]=[#6]1-[#7]=[#6H]-[#6]=[#6]-[#7]-1-[#0:2],1
O=C1C([S][R])[N]([R])C(=O)C([S][R])[N]1[R],[#0:1]-[#16]-[#6H]1-[#7](-[#0:2])-[#6](=[#8])-[#6H](-[#16]-[#0:3])-[#7](-[#0:4])-[#6]-1=[#8],1
C=CC(=O)C([S][R])[S][R],[#6H2]=[#6]-[#6](=[#8])-[#6H](-[#16]-[#0:1])-[#16]-[#0:2],1
[R][N]=C([S][R])[N]([R])C(=[N][R])[S][R],[#0:1]/[#7]=[#6](\[#16]-[#0:2])-[#7](-[#0:3])-[#6](=[#7]-[#0:4])-[#16]-[#0:5],1
C=CC(O)[O][R],[#6]=[#6]-[#6H](-[#8])-[#8]-[#0:1],1
O=C(C=NO)[O][R],[#0:1]-[#8]-[#6](=[#8])/[#6H]=[#7]\[#8],1
O=[C]([R])C=C[S][R],[#0:1]-[#16]/[#6]=[#6]/[#6](=[#8])-[#0:2],1
O=CC=C[N]([R])C(=O)[O][R],[#6H](-[#6]=[#8])=[#6]-[#7](-[#6](=[#8])-[#8]-[#0:2])-[#0:1],1
O=C(Cl)[C](=O)[R],[#8]=[#6](-[#17])-[#6](=[#8])-[#0:1],1
O=C(C=C[S](=O)[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])/[#6]=[#6]/[#16](-[#0:2])=[#8])-[#0:3],1
O[B]([R])[B]([R])[R],[#5](-[#5](-[#8])-[#0:1])(-[#0:2])-[#0:3],1
C#CC=O,[#6H]#[#6]-[#6]=[#8],1
O=C(C#C[N]([R])[S](=O)(=O)[R])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6]#[#6]-[#7](-[#0:2])-[#16](=[#8])(=[#8])-[#0:3],1
O=[N+](O)[R],[#0:1]-[#7+](=[#8])-[#8],1
[R][N+]([R])[R],[#0:1]-[#7+](-[#0:2])-[#0:3],1
[Cl][Pd]([Cl])([N+]([R])([R])[R])[N+]([R])([R])[R],[#0:1]-[#7+](-[#0:2])(-[#0:3])-[Pd](-[#7+](-[#0:4])(-[#0:5])-[#0:6])(-[#17])-[#17],1
O=[N+]([O-])[O][Pd]([O][N+](=O)[O-])([N+]([R])([R])[R])[N+]([R])([R])[R],[#0:1]-[#7+](-[#0:2])(-[#0:3])-[Pd](-[#7+](-[#0:4])(-[#0:5])-[#0:6])(-[#8]-[#7+](=[#8])-[#8-])-[#8]-[#7+](=[#8])-[#8-],1
[Nar+][Ru]([Nar+])([Nar+])([Nar+])([Nar+])[Nar+],[#7+]-[Ru](-[#7+])(-[#7+])(-[#7+])(-[#7+])-[#7+],1
O=[C]([R])[N]([R])C=[N+]([R])[R],[#0:1]-[#7](-[#6]=[#7+](-[#0:2])-[#0:3])-[#6](-[#0:4])=[#8],1
C=C[O][Gd]([OH])([OH])([O][C](=O)[R])[O][C](=O)[R],[#6H](=[#6])-[#8]-[Gd](-[#8H])(-[#8H])(-[#8]-[#6](=[#8])-[#0:1])-[#8]-[#6](=[#8])-[#0:2],1
O=[C]([R])[O][Nar+],[#0:1]-[#6](=[#8])-[#8]-[#7+],1
BrC=CBr,[#35]-[#6H]=[#6H]-[#35],1
O=[C]1[R][N]([R])C(=O)[N]([R])[N]1[R],[#0:1]1-[#6](=[#8])-[#7](-[#7](-[#0:2])-[#6](=[#8])-[#7]-1-[#0:3])-[#0:4],1
[R][O]C(C([O][R])[N]([R])[R])[N]([R])[R],[#0:2]-[#7](-[#6](-[#6](-[#7](-[#0:3])-[#0:6])-[#8]-[#0:4])-[#8]-[#0:1])-[#0:5],1
[R][N]([R])C[N]([R])C[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#6]-[#7](-[#0:3])-[#6]-[#7](-[#0:4])-[#0:5],1
[R][N]1C=NN=C[N]1[R],[#6H]1=[#7]-[#7]=[#6H]-[#7](-[#7]-1-[#0:2])-[#0:1],1
O=[C]([R])C(Br)=C(Br)[C](=O)[R],[#8]=[#6](-[#6](-[#35])=[#6](-[#35])-[#6](=[#8])-[#0:1])-[#0:2],1
C=C(C(=O)[O][R])C(O)[N]([R])[R],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6H2])-[#6](-[#7](-[#0:2])-[#0:3])-[#8],1
O=C[N]([R])CS(=O)(=O)[S](=O)(=O)[R],[#0:1]-[#16](=[#8])(=[#8])-[#16](=[#8])(=[#8])-[#6H]-[#7](-[#6]=[#8])-[#0:2],1
F[B-](F)([R])[Nar+],[#9]-[#5-](-[#9])(-[#0:1])-[#7+],1
O=C(O)C(=O)[N]([R])[C](=O)[R],[#8]=[#6](-[#8])-[#6](=[#8])-[#7](-[#6](=[#8])-[#0:1])-[#0:2],1
[R][S]=[Car],[#0:1]=[#16]-[#0:2],1
[R][O]P([O][R])[O][R],[#0:1]-[#8]-[#15](-[#8]-[#0:2])-[#8]-[#0:3],1
C=CC([N]([R])C=O)[S](=O)(=O)[R],[#0:1]-[#16](=[#8])(=[#8])-[#6](-[#6]=[#6H])-[#7](-[#6]=[#8])-[#0:2],1
O=C([O][R])[N]([R])C[S](=O)(=O)[R],[#0:1]-[#8]-[#6](=[#8])-[#7](-[#6H]-[#16](=[#8])(=[#8])-[#0:2])-[#0:3],1
C=CO[S](=O)(=O)[R],[#8]=[#16](=[#8])(-[#8]-[#6H]=[#6H])-[#0:1],1
O=[C]([R])O[I]([R])[R],[#8]=[#6](-[#8]-[#53](-[#0:1])-[#0:2])-[#0:3],1
*[P+]([R])([R])[Rh]([Cl])([R])([S+]([R])[R])([S+]([R])[R])[Si]([R])([R])[R],[#0:1]-[#16+](-[#0:2])-[Rh](-[Si](-[#0:3])(-[#0:4])-[#0:5])(-[#16+](-[#0:6])-[#0:7])(-[#17])(-[#15+](-[#0:8])(-[#0:9])-[#0])-[#0:1],1
O=[C]([R])C=C([C](=O)[R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#6](=[#6]-[#6](=[#8])-[#0:2])-[#6](-[#0:3])=[#8],1
[Cl][Pt]([Cl])([N]([R])[R])[N]([R])[R],[#17]-[Pt](-[#17])(-[#7](-[#0:1])-[#0:3])-[#7](-[#0:2])-[#0:4],1
O=[N+]([O-])[O][Pt]([O][N+](=O)[O-])([N]([R])[R])[N]([R])[R],[#8]=[#7+](-[#8-])-[#8]-[Pt](-[#8]-[#7+](=[#8])-[#8-])(-[#7](-[#0:1])-[#0:3])-[#7](-[#0:2])-[#0:4],1
[R][N]=c1ccc(=[N][R])[n]([R])[n]1[R],[#6]1=[#6]-[#6](=[#7]-[#0:1])-[#7](-[#0:2])-[#7](-[#0:3])-[#6]-1=[#7]-[#0:4],1
[R][N]([R])CN(C[N]([R])[R])C[N]([R])[R],[#6H](-[#7](-[#0:2])-[#0:4])-[#7](-[#6H]-[#7](-[#0:3])-[#0:5])-[#6H]-[#7](-[#0:1])-[#0:6],1
O=C([O][R])C(C=C([S][R])[S][R])=CC([S][R])[S][R],[#0:1]-[#8]-[#6](=[#8])-[#6](-[#6H]=[#6](-[#16]-[#0:2])-[#16]-[#0:3])=[#6H]-[#6](-[#16]-[#0:4])-[#16]-[#0:5],1
C=CC=CC(=O)[N](O)[R],[#6H](/[#6]=[#6]/[#6](=[#8])-[#7](-[#8])-[#0:1])=[#6H],1
C=CC=CC(O)=C1[C](=O)[R][N]([R])C1=O,[#6H](/[#6]=[#6]/[#6](-[#8])=[#6]1/[#6](=[#8])-[#0:1]-[#7](-[#6]-1=[#8])-[#0:2])=[#6H],1
O=[C]1[R][O]C([O][R])C2OC12,[#0:1]-[#8]-[#6H]1-[#8]-[#0:2]-[#6](=[#8])-[#6H]2-[#8]-[#6H]-1-2,1
C=CC=CC=CC=C[C](=O)[R],[#0:1]-[#6](=[#8])/[#6]=[#6]/[#6]=[#6H]/[#6]=[#6]/[#6H]=[#6H2],1
[R][N]=C([N]([R])[R])[N]([R])N=CC=N[N]([R])C(=[N][R])[N]([R])[R],[#6H](/[#6]=[#7]/[#7](-[#6](=[#7]-[#0:2])-[#7](-[#0:3])-[#0:4])-[#0:1])=[#7]\[#7](-[#6](=[#7]-[#0:6])-[#7](-[#0:7])-[#0:8])-[#0:5],1
O=[C]([R])C=CC=C([S][R])[S][R],[#0:1]-[#6](=[#8])/[#6]=[#6]/[#6H]=[#6](-[#16]-[#0:2])-[#16]-[#0:3],1
C=C(C(=O)O)[C](=O)[R],[#0:1]-[#6](=[#8])-[#6](=[#6H])-[#6](=[#8])-[#8],1
C=C([C](=O)[R])[N+](=O)[O-],[#0:1]-[#6](=[#8])-[#6](=[#6H])-[#7+](=[#8])-[#8-],1
O=[C]([R])C(=C[N]([R])[R])C(=S)[N]([R])[R],[#0:1]-[#6](=[#8])/[#6](=[#6]/[#7](-[#0:2])-[#0:4])-[#6](=[#16])-[#7](-[#0:3])-[#0:5],1
O=[C]([R])C=CC(=O)[N]([R])[R],[#0:1]-[#6](=[#8])/[#6]=[#6H]\[#6](=[#8])-[#7](-[#0:2])-[#0:3],1
C=N[C](=O)[R],[#0:1]-[#6](=[#8])-[#7]=[#6H2],1
C=C1SC(=N[C](=O)[R])[N]([R])C1=O,[#0:1]-[#6](=[#8])/[#7]=[#6]1\[#7](-[#6](=[#8])-[#6](=[#6H])-[#16]-1)-[#0:2],1
O=[C]([R])C1=N[N]([R])C[N]1[R],[#0:1]-[#6](=[#8])-[#6]1=[#7]-[#7](-[#0:2])-[#6H]-[#7]-1-[#0:3],1
O=C(C(C=[N][R])=N[N]([R])[R])[N]([R])[R],[#0:1]-[#7](/[#7]=[#6](/[#6](-[#7](-[#0:4])-[#0:5])=[#8])-[#6H]=[#7]-[#0:2])-[#0:3],1
C=CC(=C1C=C(Cl)C(=O)C(Cl)=C1)[N]([R])[R],[#0:1]-[#7](-[#6](=[#6]1-[#6]=[#6](-[#17])-[#6](=[#8])-[#6](-[#17])=[#6]-1)-[#6]=[#6H])-[#0:2],1
O=[C]([R])C(Cl)=C([C](=O)[R])[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6](=[#6](-[#17])-[#6](=[#8])-[#0:2])-[#6](-[#0:3])=[#8])-[#0:4],1
O=[C]([R])C([N]([R])[C](=O)[R])[S](=O)(=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6H](-[#6](=[#8])-[#0:2])-[#16](=[#8])(=[#8])-[#0:3])-[#0:4],1
O=[C]([R])[N]([R])N=C[S][R],[#0:1]-[#6](=[#8])-[#7](/[#7]=[#6H]/[#16]-[#0:2])-[#0:3],1
O=[C]([R])[N]([R])C1SC=NC1O,[#0:1]-[#6](=[#8])-[#7](-[#0:2])-[#6]1-[#6H](-[#8])-[#7]=[#6H]-[#16]-1,1
O=[C]([R])N1CN([C](=O)[R])CN([C](=O)[R])C1,[#0:1]-[#6](=[#8])-[#7]1-[#6]-[#7](-[#6](-[#0:2])=[#8])-[#6]-[#7](-[#6](-[#0:3])=[#8])-[#6]-1,1
O=[C]([R])[N]([R])C[N]([R])C[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6]-[#7](-[#6]-[#7](-[#6](-[#0:2])=[#8])-[#0:3])-[#0:4])-[#0:5],1
O=[C]([R])[N]([R])Br,[#0:1]-[#6](=[#8])-[#7](-[#35])-[#0:2],1
