label,inferred_smarts,llm_output
N#CC=C[N]([R])C(=O)[N]([R])[R],N#CC=CN(*)C(=O)N(*)*,cyanovinyl urea
O=C1C=CS(=O)(=O)[N]1[R],O=C1C=CS(=O)(=O)N1*,dioxothiazolone
O=[C]([R])[N]([R])C=N[O][R],O=C(*)N(*)C=NO*,amidoxime
O=[C]([R])[N]([R])C(=O)C=C[N]([R])[N]([R])[R],O=C(*)N(*)C(=O)C=CN(*)N(*)*,hydrazinyl pyrimidinedione
C=CC=C1C(=O)C=CC1=O,C=CC=C1C(=O)C=CC1=O,cyclopentenedione with diene substituent
O=C1SC([N]([R])[C](=O)[R])C(=O)[N]1[R],O=C1SC(N(*)C(=O)*)C(=O)N1*,5-amido thiazolidinedione
O=S([O][R])[N]([R])[R],O=S(O*)N(*)*,sulfamate
O=C([N]([R])[R])[N]([R])[N]([R])[S](=O)(=O)[R],O=C(N(*)*)N(*)N(*)S(=O)(=O)*,urea hydrazine sulfonamide
S=[C]([Nar])[N]([R])[R],S=C(n)N(*)*,thioamidine
O=C([N]=[Car])[O][R],O=C(N=c)O*,azole carboxylate
O=[C]1[R][C](=O)[N]1[R],O=C1*C(=O)N1*,"azetidine 2,4 dione core"
O=C(C(=O)[N]([R])[N]([R])[C](=O)[R])[N]([R])[R],O=C(C(=O)N(*)N(*)C(=O)*)N(*)*,tertiary amino dicarbonyl hydrazide
O[N]([R])C=[N][R],ON(*)C=N*,hydroxyguanidine
[R][N]=CC=C([S][R])[N]([R])[R],*N=CC=C(S*)N(*)*,amino thioether dienamine
O=C(O)C=CC(=O)[O][R],O=C(O)C=CC(=O)O*,butenedioate
C=C(C(=O)[O][R])[N+](=O)[O-],C=C(C(=O)O*)[N&+](=O)[O&-],2-nitroacrylate
C=C([C](=O)[R])C(=O)[O][R],C=C(C(=O)*)C(=O)O*,beta keto acrylic
C=C(C(=O)[O][R])C(=O)[O][R],C=C(C(=O)O*)C(=O)O*,alkylidene malonate
O=C([O][R])C(=C[N]([R])[R])C(=[N][R])[N]([R])[C](=O)[R],O=C(O*)C(=CN(*)*)C(=N*)N(*)C(=O)*,5-oxopyrazolopyrimidine-3-carboxylic acid
O=[C]([R])C=C([C](=O)[R])C(=O)[O][R],O=C(*)C=C(C(=O)*)C(=O)O*,beta keto dicarboxylic acid
O=C([O][R])C1C[N]1[R],O=C(O*)C1CN1*,aziridine-2-carboxylate ester
C#C[O][R],C#CO*,oxy alkynes
O=[C]1[R][S]C(=S)[N]1[R],O=C1*SC(=S)N1*,rhodanine
C=CC(=O)[N]([R])[S](=O)(=O)[R],C=CC(=O)N(*)S(=O)(=O)*,acryloyl sulfonamide
O=[C]([R])P(=O)([O][R])[O][R],O=C(*)P(=O)(O*)O*,carbonyl phosphonate
O=P([O][R])([N]([R])[R])[N]([R])[R],O=P(O*)(N(*)*)N(*)*,diaminophosphinic acid
O=[C]([R])C(=CO)C(=O)[N]([R])C[N]([R])[R],O=C(*)C(=CO)C(=O)N(*)CN(*)*,ketone enol carbamate tertiary amine
O=[S]([R])[N]([R])[R],O=S(*)N(*)*,sulfinamide
O=S1(=O)N=C[N]([R])C[N]1[R],O=S1(=O)N=CN(*)CN1*,"1,2,4,6-thiatriazine 1,1-dioxide"
C=CC(=O)[N]([R])C[N]([R])C(=S)[N]([R])[R],C=CC(=O)N(*)CN(*)C(=S)N(*)*,acrylamide methylenediamine thiourea
O=[C]([R])N([C](=O)[R])[C](=O)[R],O=C(*)N(C(=O)*)C(=O)*,nitrogen tris carbonyl
O=C1C=CC(O)[N]1[R],O=C1C=CC(O)N1*,2 hydroxy pyrrolone
O=C(C1[S][R][C](=O)[N]1[R])[N]([R])[R],O=C(C1S*C(=O)N1*)N(*)*,thiazolidinedione
C1N=N1,C1N=N1,diazirines
[R][N]=C(N=C([S][R])[N]([R])[R])[N]([R])[R],*N=C(N=C(S*)N(*)*)N(*)*,thioamidine guanidine
O=[C]1[R][C](=O)[N]([R])C(=[N][R])[N]1[R],O=C1*C(=O)N(*)C(=N*)N1*,barbituric acid imine
O=C(C=CC(=O)[N]([R])[R])[N]([R])[R],O=C(C=CC(=O)N(*)*)N(*)*,but-2-enediamide
O=C[C](=O)[R],O=CC(=O)*,1.2-dicarbonyls
O=c1cc[n]([R])c(=[N][R])[n]1[R],O=c1ccn(*)c(=N*)n1*,2 oxo 4 imino pyrimidine
C=C(C(=O)[O][Na])N(C[S][R])[C](=O)[R],C=C(C(=O)O[#11])N(CS*)C(=O)*,sodium thioalkylamido acrylate carboxylate
O=C(O)C=CC(=O)O,O=C(O)C=CC(=O)O,unsaturated dicarboxylic acid
O=C(O)C=CC(=O)[N]([R])[N]([R])[C](=O)[R],O=C(O)C=CC(=O)N(*)N(*)C(=O)*,conjugated diacyl hydrazine
O=[C]([R])C=CN=c1cc[n]([R])[n]1[R],O=C(*)C=CN=c1ccn(*)n1*,pyrazole enone imine
C=C(C(=O)OCO[C](=O)[R])N(C[S][R])[C](=O)[R],C=C(C(=O)OCOC(=O)*)N(CS*)C(=O)*,cephalosporin acyloxyalkyl ester
ClC=N[O][R],ClC=NO*,chloro oxime
C=CC=C[N]([R])[R],C=CC=CN(*)*,alkyl chain with two adjacent chiral carbons
C=C(C(=O)O)N1C(=O)C([O][R])([N]([R])[C](=O)[R])C1[S][R],C=C(C(=O)O)N1C(=O)C(O*)(N(*)C(=O)*)C1S*,n-acryloyl beta-lactam
O=C(O)C1CO1,O=C(O)C1CO1,oxirane carboxylic acid
C=NC=[N+]([O-])[R],C=NC=[N&+]([O&-])*,heterocyclic n oxide
O=[S](=O)([R])N1CC1,O=S(=O)(*)N1CC1,sulfonylaziridine
C=[N+]([O-])C[N](O)[R],C=[N&+]([O&-])CN(O)*,nitrile oxide alkyl hydroxylamine
O=C1C=CC(=O)C([O][R])=C1[O][R],O=C1C=CC(=O)C(O*)=C1O*,ortho-dioxygenated p-quinone
[O][N]([R])[R],ON(*)*,hydroxylamine
[R][N]=c1cccn[n]1[R],*N=c1cccnn1*,pyrazole hydrazone
[R][N]=c1scc[n]1[R],*N=c1sccn1*,5 iminothiazole
O=[C]([R])C=C(O)C(=O)[O][R],O=C(*)C=C(O)C(=O)O*,beta-keto acid enol ester
O=C1C=CC(=O)N1[N]([R])[R],O=C1C=CC(=O)N1N(*)*,n-aminomaleimide
[R][N]1C=NOC1,*N1C=NOC1,"1,2,4-oxadiazole"
O=[P]([R])([O][R])[N]([R])[R],O=P(*)(O*)N(*)*,phosphoramidate
O=[C]([R])C(O)([O][R])C([O][R])[O][R],O=C(*)C(O)(O*)C(O*)O*,polyhydroxy carbonyl chain
O=P(O)([O][R])OP(=O)([O][Na])OP(=O)([O][Na])[O][Na],O=P(O)(O*)OP(=O)(O[#11])OP(=O)(O[#11])O[#11],sodium triphosphate
O=[P]([R])([R])[N]([R])[R],O=P(*)(*)N(*)*,phosphoramide
C=CC=CO[Si]([R])([R])[R],C=CC=CO[#14](*)(*)*,dienoxy silane
O=[C]([R])C(=C[N]([R])[R])C(=O)[O][R],O=C(*)C(=CN(*)*)C(=O)O*,"1,3-dicarbonyl enamine"
O=C(O)C=CC=CC=CC=CC(=O)[O][R],O=C(O)C=CC=CC=CC=CC(=O)O*,conjugated tetraene diacid and ester
[R][O]COCOCO[O][R],*OCOCOCOO*,trioxa peroxy
N#CC(C#N)=N[N]([R])[R],N#CC(C#N)=NN(*)*,dicyano hydrazone
O=[C]([R])C=[N][R],O=C(*)C=N*,alpha imino carbonyl
C=C([N]([R])[R])[N]([R])[N]([R])[C](=O)[R],C=C(N(*)*)N(*)N(*)C(=O)*,geminal triamino carbonyl alkene
[R][S]C[N]([R])C[S][R],*SCN(*)CS*,amino linked alkyl sulfides
O=[C]([R])C(=O)C=C[O][R],O=C(*)C(=O)C=CO*,12 dicarbonyl enol ether
O=C(O)C=N[N]([R])[R],O=C(O)C=NN(*)*,hydrazone carboxylic acid
C=CC=C(C(=O)[N]([R])[R])[N]([R])[C](=O)[R],C=CC=C(C(=O)N(*)*)N(*)C(=O)*,gem diamide butadiene
O=[S]([R])(=[N][R])[N]([R])[R],O=S(*)(=N*)N(*)*,sulfonimidamide
O=[C]([R])N=[S](=O)([R])[N]([R])[R],O=C(*)N=S(=O)(*)N(*)*,sulfondiimine amide
C=C=C[Si]([R])([R])[R],C=C=C[#14](*)(*)*,allenyl silane
C=CC1=CC([CH]=[Car])=NC1=O,C=CC1=CC([C&H1]=c)=NC1=O,vinyl methylidene pyrrolinone
C=C1C=CC(=O)[N]1[R],C=C1C=CC(=O)N1*,5-alkylidene pyrrolone
O=[C]1[R][N]([R])N(C(=O)[N]([R])[R])C[N]1[R],O=C1*N(*)N(C(=O)N(*)*)CN1*,lactam n carboxamide
C=CC=CC(=O)[N]([R])C1=CC(=O)C([N]([R])[R])=CC1=O,C=CC=CC(=O)N(*)C1=CC(=O)C(N(*)*)=CC1=O,quinone dienone amine conjugate
O=C1C=CC([S][R])([S][R])O1,O=C1C=CC(S*)(S*)O1,"α,α-dithio substituted butenolides"
O=[S](=O)([R])[N]([Na])[R],O=S(=O)(*)N([#11])*,sulfonamide sodium salt
[R][S]C(=N[N]([R])C=C1C=CC=N1)[N]([R])[R],*SC(=NN(*)C=C1C=CC=N1)N(*)*,vinyl pyridyl thiosemicarbazide derivatives
O=C1[N]([R])C[N]1[R],O=C1N(*)CN1*,diazetidinone
C=NO[S](=O)(=O)[R],C=NOS(=O)(=O)*,oxime sulfonate
O=[S](=O)([R])[N]([R])C#C[Si]([R])([R])[R],O=S(=O)(*)N(*)C#C[#14](*)(*)*,silylethynyl sulfonamide
C=C(Br)Br,C=C(Br)Br,gem-dibromo terminal alkene
[R][N]=C[N]([R])C=[N][R],*N=CN(*)C=N*,biguanide
O=C([O][R])[S][R],O=C(O*)S*,"o,s-ester"
[R][S]C([S][R])[S][R],*SC(S*)S*,polysulfide
O=C(C=C([S][R])[S][R])[O][R],O=C(C=C(S*)S*)O*,dithioacrylate
[R][N]([R])C=CC=CC=CC=CC=[N+]([R])[R],*N(*)C=CC=CC=CC=CC=[N&+](*)*,polyene chain between tertiary amine and quaternary ammonium
C=CC=CC=CC=CC=C,C=CC=CC=CC=CC=C,naphthalene core
C=CC=C1SC(=O)[N]([R])C1=O,C=CC=C1SC(=O)N(*)C1=O,butadienylidene thiazolidinedione
C=N[N]([R])C=N[S](=O)(=O)[R],C=NN(*)C=NS(=O)(=O)*,sulfonyl imine hydrazone
O=[C]([R])[Se][R],O=C(*)[#34]*,selenoester
C=CC(=O)[C](=O)[R],C=CC(=O)C(=O)*,conjugated 12 dicarbonyl
O=[C]([R])C=C([S][R])[N]([R])[R],O=C(*)C=C(S*)N(*)*,beta-amino beta-thio enone
O=C([O][R])C([N]([R])[C](=O)[R])[N]([R])[C](=O)[R],O=C(O*)C(N(*)C(=O)*)N(*)C(=O)*,"2,2-diamido carboxylic acid"
O=[C]([R])OC[N]([R])[C](=O)[R],O=C(*)OCN(*)C(=O)*,n-acyl aminomethyl ester
O=[C]([R])C(O)[N]([R])[C](=O)[R],O=C(*)C(O)N(*)C(=O)*,n acyl alpha hydroxy carbonyl
O=[C]([R])OC[N]([R])[S](=O)(=O)[R],O=C(*)OCN(*)S(=O)(=O)*,sulfonamide alkyl ester
O=C([O][R])[N]([R])C[S][R],O=C(O*)N(*)CS*,carbamate thioether
O=C(O)C1OC1C(=O)[N]([R])[R],O=C(O)C1OC1C(=O)N(*)*,2 carboxy 3 carboxamide oxirane
O=[C]([R])C(=CC=N[S](=O)(=O)[R])[S][R],O=C(*)C(=CC=NS(=O)(=O)*)S*,alpha thio sulfonylimino enone
O=[C]1N=C([N]([R])C(=O)[N]([R])[R])[O][R]1,O=C1N=C(N(*)C(=O)N(*)*)O*1,oxazetidinyl urea
O=[C]1N=C[S][R]1,O=C1N=CS*1,thiazolone
[R][N]1CN=C([N]([R])[R])[N]([R])C1,*N1CN=C(N(*)*)N(*)C1,4-amino dihydrotriazine
O=[P]([R])([R])[O][R],O=P(*)(*)O*,phosphoric ester
C=CC([O][R])OC[O][R],C=CC(O*)OCO*,allyl alkoxymethyl acetal
O=[C]1N=C([N]([R])[C](=O)[R])[S][R]1,O=C1N=C(N(*)C(=O)*)S*1,thiazolinone amide
C=NOC[O][R],C=NOCO*,oxime methylene ether
O=[C]([R])N=c1cccc[n]1[R],O=C(*)N=c1ccccn1*,n-substituted hetaryl hydrazone
C=CN1C[N]([R])C(=S)[N]1[R],C=CN1CN(*)C(=S)N1*,"vinyl 1,2,4-triazole thione"
C=C[N]([R])[N]([R])C=C,C=CN(*)N(*)C=C,divinyl diamine chain
O=C(C=C[N]([R])C=C[N+](=O)[O-])[O][R],O=C(C=CN(*)C=C[N&+](=O)[O&-])O*,nitrovinyl enamine acrylate
C=CC=CC=CC=CC=CC(=O)O,C=CC=CC=CC=CC=CC(=O)O,polyenoic acid
N#CC=C[N]([R])C=CC#N,N#CC=CN(*)C=CC#N,polycyano-substituted five-membered heterocycle
[O-][Cl+3]([O-])([O-])O,[O&-][Cl&+3]([O&-])([O&-])O,perchlorates
C=C1C=CC(=[N][R])C=C1,C=C1C=CC(=N*)C=C1,vinyl imino diene
O=C1C=CC(=NO[S](=O)(=O)[R])C=C1,O=C1C=CC(=NOS(=O)(=O)*)C=C1,cyclohexadienone oxime sulfonate
O=P(O)([O][Na])[O][R],O=P(O)(O[#11])O*,sodium alkyl hydrogen phosphate
O=C[N]([R])C=CS[C](=O)[R],O=CN(*)C=CSC(=O)*,enamide thioester vinyl sulfide
[R][N]([R])[N]=[Car],*N(*)N=c,aryl tertiary hydrazone
[R][O]C([O][R])C1CO1,*OC(O*)C1CO1,acetal epoxide
O=[C]([R])[N]([R])C1=[N][R][C](=O)[N]1[R],O=C(*)N(*)C1=N*C(=O)N1*,n-2-imidazolone amide
O=[S](=O)([R])[N]([R])[Nar],O=S(=O)(*)N(*)n,azole sulfonyl
O=C1[N]([R])C[N]([R])[N]1[R],O=C1N(*)CN(*)N1*,"1,2,4-triazolidin-3-one"
O=[S](=O)([R])N=CCl,O=S(=O)(*)N=CCl,sulfonyl imidoyl chloride
C=NN=C([S][R])[N]([R])[C](=O)[R],C=NN=C(S*)N(*)C(=O)*,thioamidine hydrazone carboxamide
O=[C]([R])C=C([C](=O)[R])[N]([R])[R],O=C(*)C=C(C(=O)*)N(*)*,conjugated dione amine
[R][S]C(=N[N]([R])[CH]=[Car])[N]([R])[R],*SC(=NN(*)[C&H1]=c)N(*)*,thioether hydrazone vinyl aromatic
O=[C]([R])[N]([R])C(=S)[N]([R])C[N]([R])[R],O=C(*)N(*)C(=S)N(*)CN(*)*,n-acyl thiourea methylene tert-amine
O=[S](=O)([R])[N][S](=O)(=O)[R],O=S(=O)(*)NS(=O)(=O)*,disulfonimide
[R][N]([R])C[N]([R])[N]([R])[R],*N(*)CN(*)N(*)*,tertiary amine methylene hydrazine
O=C([N]([R])[R])[N]([R])C[S](=O)(=O)[R],O=C(N(*)*)N(*)CS(=O)(=O)*,sulfonylalkyl urea
C=CC(C=CC(=O)[O][R])=CC(=O)[N]([R])[R],C=CC(C=CC(=O)O*)=CC(=O)N(*)*,diene with acrylate and alkylamide
S=C1[N]([R])C[N]([R])[N]1[R],S=C1N(*)CN(*)N1*,"1,2,4-triazolidinethione"
O=[C]([R])N=c1sc([S][R])n[n]1[R],O=C(*)N=c1sc(S*)nn1*,thiadiazole acyl amidine thioether
O=C([O][R])[N](O)[R],O=C(O*)N(O)*,n-hydroxy carbamate
O=C([N]([R])[R])[N]([R])C([O][R])[O][R],O=C(N(*)*)N(*)C(O*)O*,urea with geminal dioxy substituent
C=N[N]([R])C=O,C=NN(*)C=O,acyl hydrazone
O=C(C1OC1C(=O)[N]([R])[R])[N]([R])[R],O=C(C1OC1C(=O)N(*)*)N(*)*,epoxide dicarboxamide derivatives
O=C1C=C([N]([R])C([O][R])C2C[N]2[R])C(=O)C=C1[N]([R])[R],O=C1C=C(N(*)C(O*)C2CN2*)C(=O)C=C1N(*)*,bicyclomycin core
S=C(SSC(=S)[N]([R])[R])[N]([R])[R],S=C(SSC(=S)N(*)*)N(*)*,thiuram disulfide
ON=CC=NO,ON=CC=NO,vicinal dioxime
O=C(C=C1[S][R][C](=O)[N]1[R])[O][R],O=C(C=C1S*C(=O)N1*)O*,"4-oxo-1,3-thiazolidin-2-ylidene acetate ester"
C=C[N]([R])[N]([R])C(=C)C(=O)[O][R],C=CN(*)N(*)C(=C)C(=O)O*,vinyl hydrazine acrylate
O=C(C=C([O][R])[N]([R])[R])[O][R],O=C(C=C(O*)N(*)*)O*,3-amino-2-alkoxyacrylate
C=C[N]([R])[N]([R])C=CC(=O)[O][R],C=CN(*)N(*)C=CC(=O)O*,vinyl hydrazine acrylate
C=C[C](=O)[Nar],C=CC(=O)n,heteroaryl acrylamides
O=[C]([R])OCOC(=O)[O][R],O=C(*)OCOC(=O)O*,methylene dicarbonate
O=C1C=N[N]([R])C([S][R])([N]([R])[R])[N]1[R],O=C1C=NN(*)C(S*)(N(*)*)N1*,3 amino 3 thioether triazinone
N#C[C]([Nar])=C([S][R])[S][R],N#CC(n)=C(S*)S*,heteroaryl dithio acrylonitrile
O=[C]([R])[N]([R])N=C[N]([R])[R],O=C(*)N(*)N=CN(*)*,acyl hydrazone amidine
C=C1OC(=S)[N]([R])C1=O,C=C1OC(=S)N(*)C1=O,alkylidene thioxo oxazolidinone
C=CC=C1C(=O)[N]([R])C(=O)[N]([R])C1=O,C=CC=C1C(=O)N(*)C(=O)N(*)C1=O,dienylidene barbiturate
O=[C]([R])C=C1[S][R][C](=O)[N]1[R],O=C(*)C=C1S*C(=O)N1*,thiazolidinone enone
O=[C]([R])C(=C[N]([R])[N]([R])[R])[C](=O)[R],O=C(*)C(=CN(*)N(*)*)C(=O)*,beta dicarbonyl hydrazone
C=C1C(=O)C(C(=O)[O][R])=C[N]1[R],C=C1C(=O)C(C(=O)O*)=CN1*,activated fused ester
C=C1SC=NC1=O,C=C1SC=NC1=O,5-ylidene thiazol-4-one
O=P([O][R])([O][R])[S][R],O=P(O*)(O*)S*,phosphorothioate
O=S,O=S,sulfur oxygen double bond
O=[C]([R])[N]([R])C([O][R])[O][R],O=C(*)N(*)C(O*)O*,n gem-dioxy amide
C=CC=CC(=O)[N]([R])C1=CC(=O)C([O][R])=CC1=O,C=CC=CC(=O)N(*)C1=CC(=O)C(O*)=CC1=O,quinone with diene amide and ether substitution
O=[S](=O)([R])C=C[S][R],O=S(=O)(*)C=CS*,sulfonyl vinyl sulfide
C=C1N=C([S][R])SC1=O,C=C1N=C(S*)SC1=O,alkylidene thiazolone
O=S(=O)([N]([R])[R])[N]([R])C=[N][R],O=S(=O)(N(*)*)N(*)C=N*,sulfonyl amidine
O=[C]1[R][N]([R])CN(C[O][R])C[N]([R])C([N]([R])[R])[N]1[R],O=C1*N(*)CN(CO*)CN(*)C(N(*)*)N1*,hydroxyethyl polyaza lactam
C=N[N]([R])C=C[C](=O)[R],C=NN(*)C=CC(=O)*,hydrazone vinyl ketone
OC=C(C(=[N][R])[O][R])[N]([R])[R],OC=C(C(=N*)O*)N(*)*,amino enol carboximidate
N#C[N]([R])C1=NC[N]([R])C[N]1[R],N#CN(*)C1=NCN(*)CN1*,dihydrotriazine cyanamide
O=C(N=C[N]([R])[R])[N]([R])[R],O=C(N=CN(*)*)N(*)*,guanidine carbonyl
C=C1SC(=S)N(C[N]([R])[R])C1=O,C=C1SC(=S)N(CN(*)*)C1=O,n-dialkylaminomethyl rhodanine
O[N]([R])C(=[N][R])[N]([R])[R],ON(*)C(=N*)N(*)*,hydroxyguanidine
O=C(O)C(=CCl)N(C[S][R])[C](=O)[R],O=C(O)C(=CCl)N(CS*)C(=O)*,3 chlorocephem
N#CC1=C([N]([R])[R])SC[N]([R])C1=O,N#CC1=C(N(*)*)SCN(*)C1=O,cyano amino thiazinone
[R][N]=C([N]([R])[R])[N]([R])[O][R],*N=C(N(*)*)N(*)O*,n-oxyguanidine
O=C([N]([R])[R])[N]([R])OS(=O)(=O)O,O=C(N(*)*)N(*)OS(=O)(=O)O,urea sulfamate
C=N[N]([R])C1C(=O)[N]([R])C=N[N]1[R],C=NN(*)C1C(=O)N(*)C=NN1*,dihydrazone ketone ring
C1CS1,C1CS1,thiiranes
O=C(C=[P]([R])([R])[R])[O][R],O=C(C=P(*)(*)*)O*,phosphorus ylide carboxylate
C=C(Br)C=N[N]([R])[C](=O)[R],C=C(Br)C=NN(*)C(=O)*,bromovinyl acyl hydrazone
O=C(O)C=N[N]([R])[C](=O)[R],O=C(O)C=NN(*)C(=O)*,carboxylic acid hydrazone carbonyl
O=[P](O)([R])[O][Na],O=P(O)(*)O[#11],sodium phosphate
C=CC(=C)C(=O)[O][R],C=CC(=C)C(=O)O*,conjugated diene ester
O=C1C=CC([N]([R])[R])O1,O=C1C=CC(N(*)*)O1,amino furanone
C=C(Cl)[C](=O)[R],C=C(Cl)C(=O)*,beta chloro acryl carbonyl
C=N[N]([R])C=S,C=NN(*)C=S,thioacyl hydrazone
[R][N]=C([S][R])[N]([R])[N]([R])[R],*N=C(S*)N(*)N(*)*,thioimidoyl hydrazine
OC[N+]([R])=C([S][R])[N]([R])[R],OC[N&+](*)=C(S*)N(*)*,oxyalkyl thioamidinium
[R][N]([R])C=[N+]([R])[R],*N(*)C=[N&+](*)*,guanidinium ion
[R][N][R],*N*,aromatic methylamine
[Sar+],[s&+],sulfur cation
C1OCOO1,C1OCOO1,"1,2,4-trioxolane"
O=S(=O)([O][K])[O][R],O=S(=O)(O[#19])O*,potassium O-sulfate
[R][N]([R])C1=NCN=C([N]([R])[R])[N]1[R],*N(*)C1=NCN=C(N(*)*)N1*,diamidino triazine
O=[C]1[R][N]=C2C(=NC=C[N]2[R])[N]1[R],O=C1*N=C2C(=NC=CN2*)N1*,noname
[R][N]([R])C[N+]([R])([R])[R],*N(*)C[N&+](*)(*)*,tertiary amine methylene quaternary ammonium
O=P(O)(O)O[P](=O)(O)[R],O=P(O)(O)OP(=O)(O)*,diphosphoric acid
O=P(O)(OC[O][R])[N]([R])[R],O=P(O)(OCO*)N(*)*,hydroxy ether phosphoramidate
O=P(O)(O)C1CO1,O=P(O)(O)C1CO1,epoxide phosphonic acid or ester
[R][N]=C(N=C[N]([R])[R])[S][R],*N=C(N=CN(*)*)S*,amidine thioether
O=P(O)([O][R])OP(=O)(O)OP(=O)(O)OP(=O)(O)[O][R],O=P(O)(O*)OP(=O)(O)OP(=O)(O)OP(=O)(O)O*,tetraphosphate diester
[R][Pt][R],*[#78]*,platinum coordination
C=C(C(=O)[N]([R])[R])[S](=O)(=O)[R],C=C(C(=O)N(*)*)S(=O)(=O)*,geminal amide sulfone
O=C([S][R])[N](O)[R],O=C(S*)N(O)*,thiohydroxamate
O=P([O][Na])([O][R])[O][R],O=P(O[#11])(O*)O*,sodium phosphate
O=C1OC(C(=O)[O][R])N=C1[S][R],O=C1OC(C(=O)O*)N=C1S*,thiazolidinone ester
O=C([O][R])OC(=O)[N]([R])[R],O=C(O*)OC(=O)N(*)*,carbamoyl carbonate
C=NCN=C,C=NCN=C,hexasubstituted benzene
C=N[N]([R])C=[N][R],C=NN(*)C=N*,azine
O=C(N=NC(=O)[N]([R])[R])[N]([R])[R],O=C(N=NC(=O)N(*)*)N(*)*,azodicarbonamides
C=CC=C1C=CC(=O)C(O)=C1,C=CC=C1C=CC(=O)C(O)=C1,ortho hydroxy ketone
C=CC(C=C)=N[O][R],C=CC(C=C)=NO*,dialkenyl oxime ether
C=CC(=O)[O][Na],C=CC(=O)O[#11],"sodium α, β-unsaturated carboxylate"
O=[C]1[R][N](C(=O)[O][R])C[N]1[R],O=C1*N(C(=O)O*)CN1*,azolidinone carbamate
O=C(C=CC1CO1)[O][R],O=C(C=CC1CO1)O*,epoxy acrylate ester
ClC=CC=[N+]([R])[R],ClC=CC=[N&+](*)*,chloro vinyl iminium
C=CC=CC=C[N]([R])[R],C=CC=CC=CN(*)*,basic amine
O=C[N]([R])C=CS[S][R],O=CN(*)C=CSS*,disulfanylvinyl amide
C=NC(=O)[N]([R])[R],C=NC(=O)N(*)*,carbamoylamidine
C=CC=CC=CC(=O)O,C=CC=CC=CC(=O)O,conjugated trienoic acid
O=[C]([R])C(=CO)[C](=O)[R],O=C(*)C(=CO)C(=O)*,"1,3-dicarbonyl enol ether"
O=C(C=N[O][R])[O][R],O=C(C=NO*)O*,oxime carboxylate
C=CC(OC=CC(=O)[O][R])OC[O][R],C=CC(OC=CC(=O)O*)OCO*,acrylate enol ether acetal
C=CC(=O)[N]([R])C[N]([R])C(=O)[O][R],C=CC(=O)N(*)CN(*)C(=O)O*,acrylamide methylenediamine carbamate
C=CC=NN=C,C=CC=NN=C,pyridazine ring
C=N[N]([R])C(=[N][R])[N]([R])[S](=O)(=O)[R],C=NN(*)C(=N*)N(*)S(=O)(=O)*,sulfonyl guanidine with imino substituent
C=CO[O][R],C=COO*,non n-aryl aromatic amide
C=C([N]([R])[R])[N]([R])[R],C=C(N(*)*)N(*)*,gem-diamino alkene
C=C=C[N]([R])[R],C=C=CN(*)*,allenyl amine
S,S,sulfur
C=CN=CC=C(C=C)[N]([R])[C](=O)[R],C=CN=CC=C(C=C)N(*)C(=O)*,conjugated enamine amide
O=C(C=CC(=O)[N]([R])C(=O)[N]([R])[R])[O][R],O=C(C=CC(=O)N(*)C(=O)N(*)*)O*,carbamoylamino oxo butenoate
C=C1C=NOC1=O,C=C1C=NOC1=O,4-alkylidene isoxazolone
ClC(C=C[N]([R])[R])=CC=[N][R],ClC(C=CN(*)*)=CC=N*,chloro amino vinyl imine diene
[R][S]C=C[S][R],*SC=CS*,dithio vinyl
C=C1C=C(I)C=[N+]1[B-](F)(F)[Nar],C=C1C=C(I)C=[N&+]1[B&-](F)(F)n,iodo bodipy core
[R][O][B-]([R])([O][R])[N+]([R])([R])[R],*O[B&-](*)(O*)[N&+](*)(*)*,borate ammonium
C=CSC(=[N][R])[N]([R])[R],C=CSC(=N*)N(*)*,vinyl thiourea
C=C(C(=O)[O][R])C(O)[O][R],C=C(C(=O)O*)C(O)O*,gem-dioxy acrylic acid
[R][N]=[N+]=[N][R],*N=[N&+]=N*,azide
O=[S](=O)([R])[N]([R])C(Cl)=CCl,O=S(=O)(*)N(*)C(Cl)=CCl,"1,2-dichloroethenyl sulfonamide"
O=[C]([R])C([S][R])[S][R],O=C(*)C(S*)S*,alpha dithio carbonyl
C=CO[Si]([R])([R])[R],C=CO[#14](*)(*)*,silyl enol ether
O=[C]([R])OC([O][R])[O][R],O=C(*)OC(O*)O*,acetal ester
O=[C]([R])[O][Pt]1([O][C](=O)[R])([N]([R])[R])([N]([R])[R])[O]C(=O)C(=O)[O]1,O=C(*)O[#78]1(OC(=O)*)(N(*)*)(N(*)*)OC(=O)C(=O)O1,oxalatoplatinum diamine dicarboxylate
O=C(O)[O][R],O=C(O)O*,carbonate
C=C[N]([R])C(=O)[O][R],C=CN(*)C(=O)O*,vinyl carbamate
[N-]=[N+]=N[S](=O)(=O)[R],[N&-]=[N&+]=NS(=O)(=O)*,sulfonyl azide
[Cl][Ir]=[Car],Cl[#77]=c,chloroiridium carbene
[R][S][Si]([R])([R])[R],*S[#14](*)(*)*,silyl sulfide
S=C([O][R])[O][R],S=C(O*)O*,dithiocarbonate
C=CC([O][R])[N]([R])[R],C=CC(O*)N(*)*,allylic hemiaminal
O=C([O][R])C([S][R])[N]([R])[R],O=C(O*)C(S*)N(*)*,thiazolidine carboxylic acid
[R][O][Nar+],*O[n&+],aryl n-hydroxy group
[R][N]=NC=C([S][R])[S][R],*N=NC=C(S*)S*,azo ketene dithioacetal
