smarts,cleaned_description
[OX2;H1][CH2][NX3],n-methylol derivatives
"[CX3;!H0,$([CX3][CX4])]([F,Cl,Br,I])=[CX3;!H0,$([CX3][CX4])][!F!Cl!Br!I]",monohaloalkene
"[F,Cl,Br,I][CH2][CH2][NX3,SX2][CH2][CH2][F,Cl,Br,I]",s or n mustard
"[$([OX2]1[CX4][CX4][CX3]1(=[OX1])),$([CX4]1[CX4][CX4][Sv6;X4](=[OX1])(=[OX1])[OX2]1)]",β-lactones and γ- sultones
"[CX4]1[OX2,NX3][CX4]1",epoxides and aziridines
"[CX4;!H0][Br,Cl,I]",aliphatic halogens
[OX1]=[NX2][OX2][CX4],alkyl nitrite
[CX3](=[OX1])[CX3H1]=[CX3],"α,β unsaturated carbonyls"
"[CX3;!H0,$([CX3][#6&!$([CX3]=[CX3])])]([H])(=[OX1])",simple aldehyde
"[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]",quinones
[NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])][NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])],hydrazine
"[$([NX2;!H0,$([NX2]C)]=[NX2;!H0,$([NX2]C)]),$([CX3]=[NX2+]=N),$([CX3]=[NX2+]=[NX1-]),$([CX3-][NX2+]#[NX1]),$([CX3][NX2]#[NX1]),$(C[NX2]=N(=O)[*]),$(C[NX2]=[N+]([O-])[*])]",aliphatic azo and azoxy
"[NX2]=[CX2]=[OX1,Sv2X1]",isocyanate and isothiocyanate groups
"[NX3;!H0!H1,$([!H0]C),$(*(C)(C))][CX3](=[OX1,Sv2X1])[OX2,Sv2X2]C",alkyl carbamate and thiocarbamate
"[$([cX3R3]),$([cX3;R1,R2,R3]1[cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R2,R3]2[cX3;R2,R3]1[cX3;R1,R2,R3][cX3;R2,R3]3[cX3;R2,R3]([cX3;R1,R2,R3]2)[cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R1,R2,R3]3)].[!$([n,o,s])]",polycyclic aromatic hydrocarbons
"[$([aR3].[n,o,s]),$([$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[n,o,s])]",heterocyclic polycyclic aromatic hydrocarbons
"[F,Cl,Br,I][CX3;!H0,!$(*[OH1]),!$(*[SH1])]=[OX1]",haloanhydrides
[#6][CX3](=[OX1])n1cncc1,acylimidazoles
[#6][CX3](=[OX1])n1nnc2ccccc12,acylbenzotriazoles
[CX3](=[OX1])[OX2][CX3](=[OX1]),anhydrides and mixed anhydrides
"[Pv5X4](=[OX1])([F,Cl,Br,I])([#6])[#6]",phosphorus halogen derivatives (1)
"[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#6]",phosphorus halogen derivatives (2)
"[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#8]",phosphorus halogen derivatives (3)
"[Pv5X4](=[OX1])([F,Cl,Br,I])([#7])[#6]",phosphorus halogen derivatives (4)
"[Pv5X4]([F,Cl,Br,I])([#6])([#6])=[SX1]",phosphorus halogen derivatives (5)
"[Pv5X4]([#8])([#6])([F,Cl,Br,I])(=[SX1])",phosphorus halogen derivatives (6)
"[Pv5X4](=[SX1])([F,Cl,Br,I])([#16])[#6]",phosphorus halogen derivatives (7)
[Pv5X4]([!#1])([!#1])([!#1])=[NX2],phosphorus v derivatives
[NX2]=[CX2]=[OX1],isocyanates
[NX2]=[CX2]=[SX1],isothiocyanates
[#6][NX2]=[CX2]=[NX2][#6],carbodiimides
[SX2][CX2]#[NX1],thiocyanates
"[#6][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]",sulfonylhalides
[#6][Sv6X4](=[OX1])(=[OX1])[OX2][Sv6X4](=[OX1])(=[OX1])[#6],sulfonylanhydrides
[#6][Sv6X4](=[OX1])(=[OX1])[OX2][CX4],alkylsulfonates
"[OX2;!H0,OH1!H0,$([OX2,OH1][#6])][Sv6X4](=[OX1])(=[OX1])[OX2][CX4]",alkylsulfates
[Pv3X3]([#8])([#8])[#8],all types of 3-valent phosphorus and similar (1)
"[Pv3X3]([#8])([#8])[F,Cl,Br,I]",all types of 3-valent phosphorus and similar (2)
"[Pv3X3]([#8])([#6])[F,Cl,Br,I]",all types of 3-valent phosphorus and similar (3)
"[Pv3X3]([#6])([#6])[F,Cl,Br,I]",all types of 3-valent phosphorus and similar (4)
[Pv3X3]([#6])([#6])([#6]),all types of 3-valent phosphorus and similar (5)
"[Pv3X3]([#8])([#7])[F,Cl,Br,I]",all types of 3-valent phosphorus and similar (6)
"[Pv3X3]([#7])([#7])[F,Cl,Br,I]",all types of 3-valent phosphorus and similar (7)
"[#16][Pv3X3]([#6])[F,Cl,Br,I]",all types of 3-valent phosphorus and similar (8)
[Pv3X3]([#7])([#7])[#7],all types of 3-valent phosphorus and similar (9)
[PX4+]([#6])([#6])([#6])([#6]),all types of 3-valent phosphorus and similar (10)
"[CX3]([#6])([F,Cl,Br])=[NX2][#8]",hydroxamic acid haloanhydrides
"[#6][CX3](=[SX1])[F,Cl,Br,I]",halothioanhydrides
"[#8][CX3](=[OX1])[F,Cl,Br,I]",halocarbonates
"[#7][CX3](=[OX1])[F,Cl,Br,I]",halocarbamates
"[#6][$([NX2+]#[CX1-]),$([NX2]#[CX1])]",isocyanides
"[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]",azides
"[CX3;!H0,$([CX3][#6])](=[SX1])[OX2][#6]",thione esters
"[CX3;!H0,$([CX3][#6])](=[OX1])[SX2][#6]",acylsulfides
[#6][CX3](=[SX1])[#6],thiones
[#6][CX3](=[SX1])[#7],thioamides
[OX2][OX2],peroxides
[SX2!R][SX2!R],acyclic disulfides and polysulfides
[#6][NX2]=[OX1],nitroso
"[#6][OX2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]",nitrates
"[#7][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]",n-nitro
[#7][NX2]=[OX1],n-nitroso
[#6][NX2]=[NX2][#6],azo
"[#6][$([NX2]=[NX3+]([O-])[#6]),$([NX2]=[NX3](=[OX1])[#6])]",azoxy
"[$([#6][NX3+]([OX1-])=[NX3+]([OX1-])[#6]),$([#6][NX3](=[OX1])=[NX3](=[OX1])[#6])]",nitroso dimers
"[#6][NX3][F,Cl,Br]",haloamines
"[#6][Sv2X2][F,Cl,Br,I]",sulfenyl halides
"[#6][Sv4X3](=[OX1])[F,Cl,Br,I]",sulfinyl halides
"[$([NX2+]#[NX1]),$([NX2]#N)]",diazonium salts
"[CX3](=[#7])([#7])[Cl,Br,I]",cyclic and linear haloamidines
"[CX3;!H0,$([CX3][#6])]([H])=[OX1]",aldehydes
[#6][CX3]=[NX2][#6],aldimines and ketimines
[#6][NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])][NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])],hydrazines
[CX3]=[NX2][NX3][#6],hydrazones and similar
[OH1][NX3][#6],hydroxylamines
"[$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1]=[Nv5X3&!$([Nv5X3](=[OX1])=[OX1])](=[*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R]))]",n-oxides
N[CX4]N,aminals
[NX4+]([#6])([#6])([#6])([#6]),ammonium salts
[SX3+]([#6])([#6])([#6]),sulfonium salts
"[#6][CX3](=[OX1])[CX4][Cl,Br,I]",α-haloketones and similar
"[NX3][CX4][CX4][Cl,Br,I]",β-haloamines
"[Sv2X2][CX4][CX4][Cl,Br,I]",β-halosulfides
[CX3](=[OX1])([#8])[CX3]=[CX3],acrylates and similar
[CX3](=[OX1])([#7])[CX3]=[CX3],acrylamides
[CX3](=[OX1])([#6])[CX3]=[CX3],vinylketones and similar
[Sv6X4](=[OX1])(=[OX1])[CX3]=[CX3],vinylsulfones and similar
"[CX3]=[CX3][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]",nitrovinyl
[NX1]#CC=C,acrylonitriles
[Pv5X4](=[OX1])([#8])([#8])[CX3]=[CX3],vinylphosphonates and similar
"[$(n1c([CX3]=[CX3])cccc1),$(n1cc([CX3]=[CX3])ccc1),$(n1ccc([CX3]=[CX3])cc1)]",vinylpyridines and similar
C1(=[OX1])C=CC(=[OX1])[NX3]1,cyclic maleimide-like michael acceptors
[CX3]=[CX2]=[OX1],ketenes
C=C=C,allenes
[CX4]1[OX2][CX4]1,oxiranes
[CX4]1[SX2][CX4]1,thiiranes
[CX4]1[NX3][CX4]1,aziridines
[CX4]1[OX2][CX4][CX4]1,oxetanes
[CX4]1[SX2][CX4][CX4]1,thietanes
[Sev2X2],selen in chain
[Si]([#8])([#6])([#6])([#6]),o-silyl derivatives
[Si]([#7])([#6])([#6])([#6]),n-silyl derivatives
"[$([F,Cl,Br,I]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cccc1),$([F,Cl,Br,I]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc1),$([F,Cl,Br,I]c1ccc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1)]",nitro-haloarenes
"[$(c1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cccc1),$(c1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc1),$(c1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1)]",dinitroarenes
"c1ccccc1([CX4][Cl,Br,I])",benzylhalogenides and similar
"[F,Cl,Br,I][CX4][#8]",halomethyl ethers
"[F,Cl,Br,I][CX4][#16]",halomethyl thioethers
"[F,Cl,Br,I][CX4][#7]",halomethyl amines
[OX1]=[I!X1][#6],iodoso and similar hypervalent compounds
N[CX3](=[SX1])N,linear thioureas
N[CX3](=[SX1])S,linear dithiocarbamates
[CX3](=[SX1])(S)S,trithiocarbonates
[CX3](=[SX1])([#6])S,thioester
[Sv6X4](=[OX1])([#8])([#8])[SX2][#6],bunte salts
[#7v4X3R],positively charged n-heterocycles
"[$([#6]1([F,Cl,Br,I])=,:[#6]-,:[#6](=[OX1])-,:[#6]=,:[#6]-,:[#6]1(=[OX1])),$([#6]1(=[OX1])-,:[#6](=[OX1])-,:[#6]([F,Cl,Br,I])=,:[#6]-,:[#6]=,:[#6]1),$([#6]1(=[OX1])-,:[#6](=[OX1])-,:[#6]=,:[#6]([F,Cl,Br,I])-,:[#6]=,:[#6]1)]",haloquinones and similar
"[$([Te]~[#6]),$([As]~[#6]),$([Ge]~[#6]),$([Hg]~[#6]),$([Co]~[#6]),$([Fe]~[#6]),$([Mn]~[#6]),$([Cr]~[#6]),$([Ti]~[#6]),$([Sn]~[#6])]",organometallic compounds
"[#6]1~[#6][#7,#8,#16]1",three-membered heterocycles
[Sv2X2H1],thioles
SS,disulphides
OO,peroxides
[CX3!H0]=[OX1],aldehydes
"[CX3](=[OX1])[Cl,Br]",chlor(brom)anhydrides
S(=O)(=O)O,sulphonic acids/esters
"[CX3](=[OX1])[CX4]([F,Cl,Br,I])([F,Cl,Br,I])[F,Cl,Br,I]",trihalogensubstituted ketones
"[CX3](=[OX1])C[Cl,Br,I]",monohalogen substituted ketones
"[CX4][Br,Cl,I]",alkylhalides
"S(=[OX1])(=[OX1])[F,Cl,Br,I]",sulphonhalogenanhydrides
[Sv6X4](=[OX1])(=[OX1])[OH1],sulphonic acid
P,phosphorus
I,iodine
[Se],selen
B,bor
[Si],silicium
"[NX2]=[CX2]=[OX1,SX1]","isocyanates, isothiocyanates"
[CX3]=[SX1!R],thione
"[CX3](=[OX1])CC[F,Cl,Br,I]",β-halogen substituted carbonyls
[CX3](=[OX1])[C!H0]C[OH1],β-hydroxy substituted carbonyls
"CC([Cl,Br,I])([Cl,Br,I])C",gem-dihalo propane and cyclopropane
"[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]cc[F,Cl,Br]",activated halides (o-nitro substituted haloaromatics)
"[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]cccc[F,Cl,Br]",activated halides (p-nitro substituted haloaromatics)
"nc[F,Cl,Br]",activated halides (α-halogen substituted n-heterocycles)
"nccc[F,Cl,Br]",activated halides (γ-halogen substituted n-heterocycles)
[#7][CX3](=[SX1])[#7],thiourea
"N1C(=[OX1,SX1])NC(=[OX1,SX1])C(=C)C1(=[OX1,SX1])",barbiturates
[CX4H2!R][CH2][CH2][CX4H2!R][CH2],alkyl chains
C[C!R](=[OX1])[C!R](=[OX1])C,"non-cyclic 1,2-dicarbonyls compounds"
[!#1!#6]C~C[!#1!#6]C~C[!#1!#6]C~C[!#1!#6]C~C[!#1!#6]C~C[!#1!#6]C~C,crown ethers
"c1cccc2c1oc(=O)c([$(C=[OX1]),$(C=[SX1]),$(S=[OX1]),$(C#[NX1]),F,Cl,Br,I,$([CX4]([F,Cl,Br,I])([F,Cl,Br,I])([F,Cl,Br,I]));!$([CX3](=[OX1])[OH1])])[c!H0]2",coumarins (1)
"[cH1]1[cH1]c2c3[cH1][cH1]c(cc3oc(=O)c2[cH1]c1[OX2][$([CH2]),$([CH3])])[OX2][C!H0]",coumarins (2)
c1cccc2c1oc(=[OX1])[c!H0]c2,coumarins (3)
c1cccc2c1nc(=[OX1])[c!H0]c2,coumarins (4)
c1cccc2c1nc(=[NX2])[c!H0]c2,coumarins (5)
"c1([F,Cl,Br,I])cc([F,Cl,Br,I])cc2c1oc(=[NX2H1])c([CX3](=[OX1])[NH2])[c!H0]2",coumarins (6)
c1cccc2c1oc(=[NX2])cc2,coumarins (7)
C1(=[OX1])NC(=[OX1])[CX3H1]=[CX3]1,maleimides
[CX3!H0!R]=[CX3!R][CX3]=[OX1],"michael acceptors (α,β-unsaturated carbonyls)"
[CX3!H0!R]=[CX3!R][CX2]#[NX1],michael acceptors (acrylonitriles)
C[CX3H1]=[CX3H1!R][CX3](=[OX1])C,"michael acceptors (α,β-unsaturated ketones)"
C[CX3H1]=[CX3!R][CX2]#[NX1],michael acceptors (methyl acrylonitrile derivatives)
"CC(=[OX1])C(=[OX1])[#6,#7]",o-quinones (3)
CC(=[OX1])C(=S)C,o-quinones (5)
"[#6]1=,:[#6]-,:[#6]=,:[#6]2-,:[#6](=,:[#6]1)-,:[#6](=[OX1])-,:[#6]4-,:[#6]3=,:[#6]2-,:[#8]-,:[#7]=,:[#6]3-,:[#6]=,:[#6]-,:[#6]4",p-quinones (2)
"[#6]1-,:[#6]=,:[#6]-,:[#6]=,:[#6]2-,:[#6]1-,:[#6](=[OX1])-,:[#6]4=,:[#6]3-,:[#6]2=,:[#6](-,:[#6](=[OX1])-,:[#7]-,:[#6]3=,:[#6]-,:[#6]=,:[#6]4)O",p-quinones (3)
c1c([OH1])c([OH1])ccc1,hydroquinone
[N!R][N!R],n-n single bound not in a ring
CC([OX2]C)([OX2]C)C,ketal
[CX4H1](C)([OX2]C)([OX2]),acetal
"[$(C(=[OX1])[CX2]#[NX1]),$(S(=[OX1])[CX2]#[NX1])]",acyl and sulfinyl cyanide
"[#7]1([CX3]=[OX1])-,:[#6]=,:[#7]-,:[#7]=,:[#7]1",amidotetrazole
"[NX3H2][#7,#8]",hydrazine and other nucleophilic nh2-groups
[NX3]([OH1])[CX4],hydroxylamines
[NX2]=[OX1],nitroso
"c1([F,Cl,Br,I,$(C(C)=NO),$([CX2]#[NX1]),$([CX3]=[OX1]),$([CX4](F)(F)F),$([SX4](=[OX1])=[OX1]);!$([CX3](=[OX1])[OH1])])na([F,Cl,Br,I,$([SX4](=[OX1])(=[OX1])C)])a([!#7])a([!#7])a1",activated halo- and sulfonyl-aromatics
N1C(=[SX1])[SX2]C(=C)[CX3]1=[OX1],rhodanines
"[C!R]([Cl,Br,I])[Cl,Br,I]",acyclic gem-dihalosubstituted carbon atom
"[N!R]=[C,N]",imines
"[$([#7+R][OX1-!R]),$([#7v5R]=[OX1!R]);!$([#7](~[O])~[O]);!$([#7]=[#7])]",n-oxides
C[CX3H1]=[CX3!R](C(=[OX1])[!#1]~[!#1])[CX2]#[NX1],michael acceptors (carbonyl containing acrylonitrile derivatives)
"a1c([F,Cl,Br,I])c([F,Cl,Br,I])ac([F,Cl,Br,I])a1",over halogenated rings
"[CX3]1(=[!#1!#6])[CX3](=[!#1!#6])[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1",o-quinones (1)
CC(=[!#1!#6;!R])C(=[!#1!#6;!R])C,o-quinones (2)
CC(=[!#1!#6;!R])S(=[OX1])(=[OX1]),o-quinones (4)
"[#6X3]1=,:[#6X3][CX3](=[!#1!#6])[#6X3]=,:[#6X3][#6X3]1(=[!#1!#6])",p-quinones (1)
"[$([$([*R2]([*R])([*R])([*R]))].[$([*R2]([*R])([*R])([*R]))].[$([*R2]([*R])([*R])([*R]))].[$([*R2]([*R])([*R])([*R]))].[$([*R2]([*R])([*R])([*R]))].[$([*R2]([*R])([*R])([*R]))]),$([$([*R3]([*R3])([*R2,R3])([*R2,R3]))].[$([*R3]([*R3])([*R2,R3])([*R2,R3]))]),$([$([*R2,R3]([*R3])([*R])([*R]))].[$([*R2,R3]([*R3])([*R])([*R]))].[$([*R3]([*R2,R3])([*R2,R3])([*R2,R3]))].[$([*R2,R3]([*R3])([*R2,R3])([*R]))].[$([*R2,R3]([*R2,R3])([*R2,R3])([*R]))].[$([*R2,R3]([*R2,R3])([*R])([*R]))]),$([$([*R2,R3]([*R3])([*R])([*R]))].[$([*R3]([*R2,R3])([*R2,R3])([*R2,R3]))].[$([*R2,R3]([*R3])([*R])([*R]))].[$([*R2,R3]([*R3])([*R2,R3])([*R]))].[$([*R2,R3]([*R2,R3])([*R2,R3])([*R]))].[$([*R2,R3]([*R2,R3])([*R])([*R]))])]",polycyclic 4 fused rings and more
C1C4CC9CC1CC(C4)C9,other undesirable policyclic (adamantane derivatives)
C1N4CN8CC1CN(C4)C8,"other undesirable policyclic (1,3,5-triazaadamantane derivatives)"
c1ccc2c3c1cccc3CCC2,"other undesirable policyclic (2,3-dihydro-1h-phenalene derivatives)"
c1ccc2c3c1cccc3CC2,other undesirable policyclic (acenaphthene derivatives)
[!#1](=O)O[!#1]=O,acid anhydrides and analogues
"[C,S](=[O,S])[F,Br,Cl,I]",acyl halides and analogues
N#CC=[C!H0],acrylonitriles
N#CC(=O),cyano carbonyl compounds
[#6][CH]=O,aldehydes
"[CX4,C!H0][Br,Cl,I]",alkyl halides
"[!$([C,S]=O)]N([!$([C,S]=O)])[CX4]N([!$([C,S]=O)])[!$([C,S]=O)]",methylendiamines (1)
"[!$([C,S]=O)][NH][CX4]N([!$([C,S]=O)])[!$([C,S]=O)]",methylendiamines (2)
"[!$([C,S]=O)][NH][CX4][NH][!$([C,S]=O)]",methylendiamines (3)
"[#7][#8][C,S]=O",n-acetoxy amines and their thio analogues
"[F,Br,Cl,I]-cn",α-halogen substituted n-heterocycles
"[F,Cl,Br,I][$(aa[Nv4,S!v2]),$(aaa[Nv4,S!v2]),$(aaaa[Nv4,S!v2])]",activated haloaromatics
[NX1]~[NX2]~[NX2],compounds containing three bonded nitrogen atoms
cC[NX4+],benzyl ammoniums
C(=O)[#6][NX4+],α-carbonyl ammoniums
"[#6+,#17+,#53+,#15+,#16+]",cations
[#16][#16],disulfides
[#6][CX3](!@N)=[CX3][#6],enamines
"C1[O,S,N]C1",three-membered heterocycles
"[!#1&!#6][F,Cl,Br,I]",halogen-bonded heteroatoms
"[C,N]=C=[C,O,N,S]",cumulated double bonds
C(=O)Onnn,acetoxy group attached to the aromatic nitrogen
[#7]!@-N,singel acyclic n-n bonds
[NX2+]#[CX1-],isocyanides
[C!H0]=C(C#N)C(=O),activated double bonds (1)
[!c][C!H0]=CC=O,activated double bonds (2)
"[C!H0]=C[S,N]=O",activated double bonds (3)
[NR0]-[SR0!v6],singel acyclic n-s bonds
"C(=O)O[$(aa[Nv4,S!v2]),$(aaa[Nv4,S!v2]),$(aaaa[Nv4,S!v2])]",acetoxy group attached to the substituted aromatic ring
"C1[O,S]CC1","oxetanes, thietanes"
"CC(=O)C([F,Cl,Br,I])([F,Cl,Br,I])[F,Cl,Br,I]",trihalomethyl ketones
[#6]P(=O)O[#6],phosphonates
"NP(=[N,O,S])",phosphorus containing compounds
O=C1C=CC(=O)C=C1,p-quinones
O=C1C(=O)C=CC=C1,o-quinones
"[#6!v4+0,#7!v3+0,#8!v2+0,#15!v3!v5+0,#16!v2!v4!v6+0]","c, n, o, p and s atoms in unusual valence states"
SC#N,thiocyanates
[!#1]OS(=O)O,sulfurous acid esters
[#6]S(=O)(=O)O[#6],sulfonic acid esters
"C(=S)[O,S,N]",heteroatom-bonded thiocarbonyls
[CR0](=O)S,thiocarboxylic acids and their derivatives
[#6][Sv2H],thiols
C(=S)[!#1!H0],thiocarbonyls
C(=O)N(C(=O))OC=O,"n-acetoxy-n,n-dicarbonyl compounds"
FC(F)(F)S(=O),trifluoromethyl sulfinyls
[#6!c][N!v3]=O,non-threevalent nitrogen double-bonded to oxygen
c12ccccc1cc3ccccc3c2,anthracenes
"[NR0,SR0]=[NR0]",double acyclic n=n and n=s bonds
c1(cc(N)cc2)c2cccc1,β-aminonaphtalenes
[#6]P[#6],dialkyl(aryl) phosphorus containing compounds
"[Cl,I]=O","iodosos, chlorosos"
"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",acid grops
[OR1][CR1][CR1][OR1][CR1][CR1][OR1],crown ethers
PC#N,phosphocyanates
N#CC[OH],α-hydroxy nitriles
[CX3R0](=O)[CX3R0](=O),α-diketones
[NR0v3]-[OR0],singel acyclic n-o bonds
"[$([#6][CHR0]=[NR0]),$([#6][CR0]([#6])=[NR0])]",imines
C=C(C#N)(C#N),activated double bonds (4)
"[$([#7+][O-]),$([#7v5]=O);!$([#7](~[OD1])~[OD1])]",n-oxides
[!#1]ON=O,nitrites
[NX2]=O,nitroso compounds
[!#1;!#6;!#7;!#8;!#9;!#11;!#12;!#15;!#16;!#17;!#19;!#20;!#35;!#53],"any atoms except organogens, halogens, p, s, k, na, mg, ca"
"P=[S,#6]",double p=s and p=c bonds
c1c(F)c(F)c(F)c(F)c1(F),pentafluorobenzenes
c12ccccc1ccc3ccccc23,phenanthrenes
c1([NH2])ccc(!@[Nv3])cc1,p-aminoanilines
[P!v5],phosphorus derivatives
[CR0]=[CR0][CR0]=[CR0][CR0]=[CR0][CR0]=[CR0],conjugated olefins
[CX4]C(=O)O[#6][!#1],carboxylic acid esters
[CX4]C(=O)C,ketones
"[CX4][NX3]([CX4])c1cc([$([CX4]),$(O[CX4][CX4])])c([#7])[cH]c1","n,n-dialkyl aniline derivatives (1)"
[CX4][NX3]([CX4])c1c[cH]c([#7])[cH]c1,"n,n-dialkyl aniline derivatives (2)"
[CX4][NX3]([CX4])c1ccc(C=C)cc1,"n,n-dialkyl aniline derivatives (3)"
[CX4][NH]c1ccc(O[CX4])cc1,p-alkoxy-n-alkyl anilines
[CX4]N([CX4])c1ccc(O[CX4])cc1,"p-alkoxy-n,n-dialkyl anilines"
"[CX4]N([CX4])c1ccc([CX4][$([OH]),$(C=[C!H0]),$(N[CX4])])cc1","n,n-dialkyl aniline derivatives (4)"
"[CX4]N([C!H0])c1[cH][cH]c([$([C!H0!H1]),$([C!H0][C!H0])])[cH][cH]1","n,n-dialkyl aniline derivatives (5)"
"[CX4]N([C!H0])c1[cH]c([CX4])c([$([C!H0!H1]),$([C!H0][C!H0])])[cH][cH]1","n,n-dialkyl aniline derivatives (6)"
P(=O)OP(=O),phosphoric anhydrides
S(=O)OS=O,sulfonylanhydrides
"C1(=C)C(=O)[#7,#8,#15,#16]N=C1",five-membered heterocycles (1)
C1(=S)NC(=O)C(=[#6])S1,thioxo-thiazolidinones
"[#7,#8,#15,#16]~C1~[#7,#8,#15,#16]~C[#7,#8,#15,#16][CX3](=[#7,#8,#15,#16])[CX3]1(=[C!H0])",six-membered heterocycles
C1CC(=O)NC(=O)C1,glutarimides
[CD1][CD2][CD2][CD2][CD2][CX4],aliphatic chain
[OH]c1c(C=NN)cccc1,o-substituted phenols (1)
[OH]c1ccc(C=NN)cc1,p-substituted phenols
"[#6][#6](=[#7,#8,#15,#16])[#6](=[#7,#8,#15,#16])[#6,Sv6]","1,2-diimines, 1,2-diketones and their thio- and phospho-analogues"
O=C1[#7]c2ccccc2C1=N[#7],indolones
"[nH]1c([$([CH2]),$([C!H0]N),$([CD3]([CH2])[NH][CH2]),$([CD3]([CH2])[CD2][NH][CH2]),$([#6]=,:[#7,#8,#15,#16])])c([CX4!H0])c2[cH]cccc12",nh-indoles
"n1([CH2])c([$([CH2]),$([C!H0]N),$([CD3]([CH2])[NH][CH2]),$([CD3]([CH2])[CD2][NH][CH2]),$([#6]=,:[#7,#8,#15,#16])])c([CX4!H0])c2[cH]cccc12",n-alkyl substituted indoles
[OH]c1c([CX4][#7])cccc1,o-substituted phenols (2)
"NC(=[O,S])NC(=[O,S])NC=[O,S]",n-allophanoylamides and their thio analogues
C1COC(C1)C1CCCCO1,tetrahydrofuranyltetrahydropyrans
[C!H0]1NC(=O)C2CCCCC12,octahydroisoindolones
N1(c2[!#1]cccc2)C([CX4])=C[C!H0]=C1[CX4],n-phenylpyrrole derivatives
"[#7,#8,#15,#16]=[#6]1-,:[#6]=,:[#6]-,:[#6](=[#7,#8,#15,#16])-,:[#6]=,:[#6]1","quinones, quinone-(di)imines and their thio- and phospho-analogues"
"[#7]=C1S[CH]=C([$([CH2]),$(c:c)])N1",five-membered heterocycles (2)
"[#7]=C1SC([$([CH2]),$(C=O)])=C([$([CH2]),$(c:c)])N1",five-membered heterocycles (3)
c[CX4](c)c,tert-butyl carbon atom
"[CH2,CH3]C#C[CH2,CH3]",acethylenes
"[CX3](=[OX1])[CX4;!H0!H1,$([!H0][Cl,Br,I]),$(*([Cl,Br,I])([Cl,Br,I]))][Cl,Br,I]",α-halocarbonyls
"[#6,#1][CX3]([H])=[OX1]",aldehydes
"[F,Cl,Br,I][CX4][CX2]#[NX1]",α-halonitriles
"[c,n]1[c,n][c,n]c2[c,n]c3[c,n][c,n][c,n][c,n]c3[c,n]c2c1",anthracenes
"[#6]-[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N)]",azides
[#6]-[NX2-][NX2+]#[NX1;0],azide tautomers
"[#7,#8,#16]1-,:[#6]=,:[#6]-,:[#7+]2=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6]21",benzthiozolium like compounds
c1([OH1])c([OH1])cccc1,catechols
"[NX2]=[CX2]=[OX1,SX1]",cyanates
"[CX3;!H0,$([CX3][#6])](=[OX1])[CX3;!H0,$([CX3][#6])](=[OX1])",di-carbonyls
C1OC1,epoxides
